step,reward,seed
0,0.0,1
100000,508.6,1
200000,497.3,1
300000,582.2,1
400000,609.1,1
500000,666.6,1
600000,707.8,1
700000,694.0,1
800000,717.6,1
900000,711.9,1
1000000,707.1,1
0,0.0,2
100000,423.8,2
200000,416.1,2
300000,504.7,2
400000,522.0,2
500000,602.0,2
600000,620.2,2
700000,613.2,2
800000,606.9,2
900000,645.5,2
1000000,632.7,2
0,0.0,3
100000,472.8,3
200000,467.9,3
300000,547.6,3
400000,619.7,3
500000,692.0,3
600000,697.4,3
700000,708.9,3
800000,707.3,3
900000,721.4,3
1000000,718.0,3
